2022.11.17 10:23:44 INFO  web[][DbMigrations] #6015 'Create 'portfolio_projects' table': success | time=57ms
2022.11.17 10:23:44 INFO  web[][DbMigrations] #6016 'Create unique index for 'portfolio_projects''...
2022.11.17 10:23:44 INFO  web[][DbMigrations] #6016 'Create unique index for 'portfolio_projects'': success | time=30ms
2022.11.17 10:23:44 INFO  web[][DbMigrations] #6017 'Migrate portfolios to new tables'...
2022.11.17 10:23:44 INFO  web[][DbMigrations] #6017 'Migrate portfolios to new tables': success | time=23ms
2022.11.17 10:23:44 INFO  web[][DbMigrations] #6018 'Create index for 'issue_changes' on 'issue_key' and 'change_type''...
2022.11.17 10:23:44 INFO  web[][DbMigrations] #6018 'Create index for 'issue_changes' on 'issue_key' and 'change_type'': success | time=22ms
2022.11.17 10:23:44 INFO  web[][DbMigrations] #6019 'Remove SVN related properties'...
2022.11.17 10:23:44 INFO  web[][DbMigrations] #6019 'Remove SVN related properties': success | time=25ms
2022.11.17 10:23:44 INFO  web[][DbMigrations] #6101 'Change size of column 'selection_expression' in 'Portfolios''...
2022.11.17 10:23:44 INFO  web[][DbMigrations] #6101 'Change size of column 'selection_expression' in 'Portfolios'': success | time=10ms
2022.11.17 10:23:44 INFO  web[][DbMigrations] #6102 'Migrate Bitbucket.org authentication plugin settings to built-in authentication settings'...
2022.11.17 10:23:44 INFO  web[][DbMigrations] #6102 'Migrate Bitbucket.org authentication plugin settings to built-in authentication settings': success | time=35ms
2022.11.17 10:23:44 INFO  web[][DbMigrations] #6103 'Create column quick_fix_available in 'issues''...
2022.11.17 10:23:45 INFO  web[][DbMigrations] #6103 'Create column quick_fix_available in 'issues'': success | time=133ms
2022.11.17 10:23:45 INFO  web[][DbMigrations] #6104 'Create qgate_user_permissions Table'...
2022.11.17 10:23:45 INFO  web[][DbMigrations] #6104 'Create qgate_user_permissions Table': success | time=31ms
2022.11.17 10:23:45 INFO  web[][DbMigrations] #6105 'Create qgate_group_permissions Table'...
2022.11.17 10:23:45 INFO  web[][DbMigrations] #6105 'Create qgate_group_permissions Table': success | time=33ms
